Номер пожара,Дата возникновения пожара,ID Карты,Район,Город,Расстояние,Площадь обнаружения пожара,Тип пожара,Причина,Статус,Текущая площадь пожара,Дата ликвидации пожара,Дата изменения данных,Log,Актуальность данных
10106138\017,02.07.2024 12:05:00,id54,Енисейский муниципальный район,п Новый Городок,33,2,Низовой сильный,От гроз,Усиливается,50,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106161\005,02.07.2024 12:10:00,id0,Эвенкийский муниципальный район,п Тура,67,12,Низовой слабый,От гроз,Частично локализован,120,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106116\020,02.07.2024 13:20:00,id54,Енисейский муниципальный район,п Новокаргино,0.3,1,Низовой слабый,По вине населения,Локализован,1,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106150\012,02.07.2024 14:05:00,id0,Эвенкийский муниципальный район,п Стрелка-Чуня,44,1.2,Низовой средний,От гроз,Усиливается,7,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106134\008,02.07.2024 14:20:00,id22,Минусинский муниципальный район,п им Крупской,4,1,Низовой средний,По вине населения,Локализован,1.9,,03.07.2024 08:01:40,0,03.07.2024 08:46:27
10106150\013,02.07.2024 14:35:00,id0,Эвенкийский муниципальный район,п Ванавара,65,0.1,Низовой средний,От гроз,Усиливается,0.1,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\011,02.07.2024 15:15:00,id32,Северо-Енисейский муниципальный район,п Брянка,34,3,Низовой сильный,От гроз,Продолжается,7,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106148\004,02.07.2024 15:45:00,id5,Богучанский муниципальный район,п Нижнетерянск,58,0.1,Низовой средний,От гроз,Продолжается,0.1,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106151\004,02.07.2024 16:50:00,id31,Туруханский муниципальный район,с Верхнеимбатск,44,24,Низовой сильный,От гроз,Продолжается,24,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106125\018,02.07.2024 16:55:00,id15,Кежемский муниципальный район,с Яркино,80,2.5,Низовой средний,От гроз,Продолжается,3,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\018,02.07.2024 17:00:00,id54,Енисейский муниципальный район,с Сым,17,1,Низовой сильный,От гроз,Продолжается,2,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106116\021,02.07.2024 18:00:00,id54,Енисейский муниципальный район,д Колмогорово,11,0.1,Низовой сильный,От гроз,Усиливается,3,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106116\022,02.07.2024 18:10:00,id54,Енисейский муниципальный район,д Безымянка,5,0.1,Низовой средний,От гроз,Продолжается,0.2,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
